Description	TotalSalesDollars	ProfitMargin
Bodegas Jeromin Zesto Rosada	1438.8000000000002	31.0258548790659
Bodegas Numanthia Termes	4078.2999999999947	20.12725890689737
Bodini Chard Mendoza	519.6	100.0
Bodini Malbec Mendoza	2288.0999999999995	28.040732485468283
Boen Pnt Nr RRV	9746.749999999975	1.1193474747990562
Boillot & Fils Gvry-Chambrtn	2589.649999999999	100.0
Bolla Prosecco 3pk/187mls	7869.749999999954	94.74443279646745
Bolla Valpo Ripasso Cls Sup	3417.300000000001	42.87595470107981
Bollinger RD	2399.8999999999996	100.0
Bols Anisette	7942.049999999899	15.676682972279341
Bols Apricot Flavored Brand	3351.9499999999903	23.1119199272063
Bols Blackberry Brandy	2802.4499999999944	23.791682278006565
Bols Brown Creme de Cacao	9989.999999999842	25.04504504504394
Bols Butterscotch	1598.400000000001	23.611111111111157
Bols Creme De Noyaux	5544.449999999997	15.349583818052198
Bols Creme de Cassis	9140.849999999866	32.161669866586884
Bols Double Barrel Root Bee	284.7000000000001	100.0
Bols Genever Amsterdam	824.7500000000001	20.006062443164634
Bols Lychee	699.3000000000004	28.02802802802808
Bols Maraschino Liqueur	1091.5500000000004	19.014245797260777
Bols Melon Liqueur	4345.649999999961	45.400572986779366
Bols Peppermint Schnapps	6593.399999999932	37.19173719173658
Bols Pomegranate Liqueur	2325.049999999996	50.46558138534645
Bols Red Stinger Hot Cinnam	49.95	100.0
Bols Sloe Gin	6693.299999999937	32.35175473981381
Bols Strawberry Liqueur	7842.149999999927	36.298081521010836
Bols White Creme De Menthe	1098.9000000000005	13.049413049413072
Bols Yogurt Liqueur	9287.84999999997	66.33881899470803
Bombay Sapphire & East 2 Pak	1399.6000000000001	100.0
Bonal Apertif	284.85	35.49236440231701
Bongiovanni Dolceo D'Alba	4077.599999999986	83.1077104178928
Bonny Doon Alamo Crk Syrah	204.95000000000002	100.0
Bonny Doon Clos de Gilroy Rd	4302.149999999999	52.3029183082877
Bonny Doon Le Cigare Volant	8029.949999999976	100.0
Bonny Doon Vyd Albarino	629.5500000000002	100.0
Bonterra Pnt Nr	5376.549999999989	46.50100901135473
Boones Sangria	1958.450000000002	30.57775281472599
Boones Strawberry Hill	9941.749999999878	32.58028013176678
Borealis Northern Whites	8533.899999999994	26.936101899483145
Bota Brick Cab Svgn	2137.95	34.1892934820739
Bota Brick Chard	1348.700000000001	20.990583524875852
Bota Brick Pnt Grigio	1938.1500000000015	17.529602971906222
Bota Mini Merlot	1293.2999999999997	12.317327766179558
Bota Mini Moscato	2969.799999999994	17.312613644016288
Bota Mini RedVolution	3073.1499999999855	25.145209312919537
Botromagno Gravina	449.4	30.97463284379172
Boundary Breaks Dry Rsl #239	3608.0999999999976	12.862725534214626
Boundary Breaks Rsl Rsv #198	1799.1000000000006	8.687677171919326
Bouvier Marsannay Rose	2728.9499999999975	62.644973341395
Bouvier Marsannay Roug Clos	6477.599999999978	100.0
Bouvier Morey St Denis Rue d	9063.149999999987	98.1981981981982
Bouza Temp Tannat	3498.5999999999954	15.417595609672308
Bowman's Gin	723.3500000000004	19.70691919541029
Bowman's Light Vodka	3094.3999999999896	75.84022750775586
Bowman's Rum	861.3500000000006	15.632437452835731
Bowmore Legend Single Malt	1214.5500000000002	51.64464204849535
Brancott Estate 'B' Svgn Bl	157.35	35.08102955195424
Brandborg Benchlands Pnt Nr	124.94999999999999	32.41296518607442
Bregeon Muscadet Sevre et M	8065.749999999954	62.09155999132112
Brewer-Clifton 3D Chardonnay	899.85	100.0
Brewer-Clifton Machado Pnt N	1824.75	100.0
Brewer-Clifton Sta. Rita Cha	5598.399999999986	100.0
Briggs Lockhart Cab Svgn	5455.800000000003	31.48575827559661
Briggs Lockhart Chard	1623.7500000000002	36.44341801385681
Bright Light White	1852.350000000001	100.0
Brinley Gold Shipwrck Coffee	749.7000000000002	27.0108043217287
Brinley Gold Shipwreck	599.7	23.66183091545773
Brinley Gold Shipwrk Coconut	2249.1000000000004	23.649459783913578
Briottet Creme de Framboise	299.90000000000003	100.0
Broadside Cab Svgn Paso Rob	1634.6999999999998	56.98293264819233
Brooks Runaway Red	1319.4	34.19736243747159
Brotherhood Holiday Spiced	7126.949999999984	23.64405531117786
Brousko Dry Red	659.4	33.75796178343949
Brownstone Cab Svgn Cal	6787.449999999997	24.260215544865858
Brownstone Merlot Cal	2337.4000000000005	21.451185077436467
Brownstone Pnt Nr	1798.0	1.3904338153503768
Bruichladdich Rocks Sngl Mlt	4499.099999999995	76.02187104087481
Bruichladdich Wee Laddie Box	5998.999999999986	26.471078513085345
Bruno Colin Chass-Mont Morge	9898.89999999999	100.0
Bruno Giacosa Extra Brut	1074.75	100.0
Bruno Giacosa Roero Arneisxc	749.4	35.4683746997598
Buenas Tempranillo	1263.8500000000006	33.75796178343952
Buil & Gine Priorat Red	104.94999999999999	100.0
Buil & Gine Priorat White	239.89999999999998	100.0
Bully Boy White Rum	1679.4	20.650232225794937
Bully Hill NY Rsl	779.4	32.409545804464976
Bunraku Nihonjin No Wasuremo	6150.049999999992	14.960040975276511
Buoncristiani Family Chard	9177.44999999998	67.10851053397178
Buoncristiani Family Red OPC	5698.849999999993	66.04578116637563
Butterfly Kiss Chard	5381.999999999993	35.451505016722315
Butterfly Kiss Pnt Grigio	538.2	32.77591973244148
Byron Pnt Nr Nielson Vyd SMV	2879.0999999999985	31.978743357299116
Byrrh Apertif	3447.799999999998	52.012877777133205
C K Mondavi Svgn Bl Cal	359.70000000000016	38.44870725604673
C K Mondavi Wh Znfdl	769.0000000000006	38.04941482444738
C Krug Chard	4512.699999999987	16.967669022979333
C Krug RSV Generations Napa	2569.499999999998	16.26386456509041
C Krug Vnt Slctn Np Cab Svgn	499.95	100.0
C Monaci Kreos Rosato	1978.9000000000008	66.2034463590884
C Y Toro Carmenere Terrunyo	879.6000000000003	91.77467030468395
C Y Toro Diablo Red	59.95	33.778148457047536
C Y Toro Frontera Pnt Nr	162.25	100.0
C Y Toro Frontera Vintage Re	523.2500000000001	100.0
C&P Breton Chinon St Louand	5122.949999999985	3.727344596374841
C'est La Vie Syrah-Grenache	139.9	32.451751250893494
CC Ranch Cab Svgn CC Ranch	9974.049999999987	29.35668058612086
CYT Diablo Devil's Coll Red	224.85000000000005	100.0
Caballero la Cepa Rsv Malbec	239.85000000000005	100.0
Cabreo Il Borgo Toscana	3824.1499999999946	77.08510387929341
Cabreo La Pietra White	6267.8999999999805	87.98959779192388
Cabrito Blanco	5217.099999999998	48.89881351708802
Cabrito Reposado	3418.1	100.0
Cadaretta Cab Svgn Clmbia Vy	4183.449999999993	100.0
Cadaretta Svgn Bl Semillon C	1379.4	31.97042192257503
Cade Svgn Bl Napa Cuvee	7347.699999999977	2.6960817670832684
Caffo Anisette di Calabria	719.6000000000003	100.0
Caffo Dominique Brandy Rsva	1724.2500000000005	100.0
Caffo Grappa Italiana	1869.1500000000005	26.964128079608408
Cakebread Clrs Cab Svgn 11	3899.7	44.80985716850014
Cakebread Vine Hill Cab	8499.149999999987	52.305818817175755
Calaches Lanessan Haut-Medoc	5981.849999999981	80.56119762280893
Calandray RSV Cotes Roussiln	1079.4	35.07504168982769
Calera Central Chard	779.4	100.0
Calera Mt Harlan Chard	8922.749999999982	63.80936370513568
Calera Ryan Vyd Pnt Nr	3599.3999999999983	41.790298383063806
Calera de Villiers Pnt Nr	4949.099999999994	96.5640217413267
Calico Jack Cherry Rum	1019.4	28.546203649205403
Calma Rioja	1279.2000000000005	50.656660412758
Cambas Mantinia Attica Wh	1169.1	100.0
Cambas Nemea RSV Attica Rd	899.4000000000001	67.54503002001333
Cambria Katherine Vyd Chard	8554.649999999961	33.15214532447238
Cambridge Chard Carneros	8715.199999999932	84.3996695428675
Cambrige Meritage Napa Vly	6412.19999999997	96.86067184429679
Camelot Merlot	494.55000000000007	20.149630977656482
Cameron Hughes Cam Coll Char	1488.9500000000007	63.41045703347999
Camila Malbec	1174.8	66.24106230847805
Camp Cab Svgn Sonoma County	5836.350000000001	16.11195353260173
Camp Chard Sonoma Cnty	6934.999999999999	27.498197548666166
Camp Meeting Ridge Pnt Nr	3254.649999999999	90.14794217504186
Camp Merlot Sonoma Cnty	2878.2000000000007	34.64665415884928
Campo Al Mare Bolgheri	5622.749999999977	100.0
Canadian Club Sherry Cask	2069.1	25.35885167464114
Canaletto Pnt Grigio Venezie	2806.8499999999917	87.91171598054754
Canaletto Pnt Nr Pavia	1798.2000000000007	31.931931931931963
Candoni Moscato	1811.250000000001	17.846790890269205
Candor Znfdl	839.4	35.453895639742676
Cantele Chard Salento	1753.65	52.1597810281413
Cantele Primitivo Salento	3357.5999999999976	31.951393852751913
Cantina Gabriele Dolc White	4043.7499999999773	89.5542503863987
Cantine Cantena Fiano Avelno	1614.1500000000005	3.280364278412831
Cantine Cantena Taurasi	1799.4000000000003	31.04368122707571
Cantine Maschio Sparkling Ro	2842.4999999999945	18.21635883904998
Canyon Oaks Pink Moscato	359.4	33.7228714524207
Canyon Oaks Wh Znfdl Cal	2845.2499999999964	32.687813021702695
Canyon Oaks Znfdl Cal	718.8	31.051752921535886
Caol Ila 17 Yr Single Malt	8999.249999999989	23.66030502541871
Capanna Brllo di Montalcino	1439.8	100.0
Cape Mentelle Sem/Svgn Bl	3576.7	24.87208879693572
Cape Point Vyds Svgn Bl	1839.2000000000005	100.0
Capel Premium Pisco	9932.899999999941	25.477453714423287
Caposaldo Moscato	839.4	32.451751250893494
Caposaldo Pnt Grigio Veneto	764.1500000000005	53.28142380422696
Caposaldo Sweet Moscato	2848.099999999996	11.351427267300886
Capostrano Montepulciano Abr	3990.4999999999977	51.26926450319509
Cappelletti Apertivoch	2298.85	59.13608978402246
Caprai Montefalco Rosso 09	4066.5999999999844	22.392170363448287
Capt Morgan Lime Bite Rum	4137.799999999993	82.5918390258235
Capt Morgan Parrot Bay Mango	5171.550000000002	25.35023348899264
Capt Morgan ParrotBay Pineap	3821.199999999994	107.48550463126189
Capt Morgan ParrotBayPassion	149.9	25.350233488992668
Capt Morgan Tattoo	6611.849999999975	26.317898923901488
Cardinale Cab Svgn Napa Vly	5624.75	48.38881728076803
Caribaya Lemonade Punch	219.80000000000004	100.0
Carlo Rossi Chianti Cal	5080.649999999991	15.660987814299185
Carlo Rossi Moscato Sangria	6670.549999999956	29.11828859689196
Carlo Rossi Paisano Zip Tray	899.4	100.0
Carlo Rossi RSV Chard Cal	4236.500000000002	89.70913787281356
Carlo Rossi RSV Merlot Cal	9114.099999999988	69.58188211650874
Carlo Rossi RSV Wh Znfdl Cal	8214.750000000004	83.47511581498703
Carlo Rossi Sweet Red	7180.049999999981	66.09374945642678
Carmel Road Chard Liberated	958.8	35.04380475594493
Carmel Road Pnt Gris	557.4	31.001076426264795
Carmel Road The Barrymore PG	4212.44999999999	19.051858182292765
Carmenere Santa Rita 120	404.5500000000002	100.0
Carnaval Brut Brazilian Sprk	454.65000000000003	100.0
Carnaval Red Moscato Sparklg	879.2000000000003	51.000909918107396
Carol Shelton Coquille Blanc	199.89999999999998	100.0
Carol Shelton Rocky Rsv Znfd	3913.799999999993	22.04507128621789
Carol Shelton Wild Thing Zin	674.5000000000003	22.07561156412161
Carpineto Molin Vecchio	2398.9999999999995	33.3472280116715
Carrick Unravelled Pnt Nr	249.90000000000003	100.0
